ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,16.2571257637238,209780
TRBV7-2,8.29672935582166,107060
TRBV29-1,6.43953601552401,83095
TRBV5-1,6.35746767638881,82036
TRBV2,6.1342789920551,79156
TRBV10-3,5.10629361091393,65891
TRBV7-9,4.58490004556769,59163
TRBV24-1,4.46524611202212,57619
TRBV15,4.14960461504602,53546
TRBV7-3,2.73282144595269,35264
TRBV10-2,2.33139179843582,30084
TRBV9,2.2748196666429,29354
TRBV7-8,2.24327876576658,28947
TRBV4-1,1.95034361757859,25167
TRBV11-3,1.8569608520848,23962
TRBV4-3,1.77682991472332,22928
TRBV12-4,1.68259469244909,21712
TRBV25-1,1.6819747238815,21704
TRBV11-2,1.6770924714117,21641
TRBV12-3,1.66492558827267,21484
TRBV5-5,1.42298285476926,18362
TRBV19,1.39074448925439,17946
TRBV5-6,1.32843764821124,17142
TRBV6-5,1.28503984847968,16582
TRBV7-6,1.19801176080373,15459
TRBV14,1.12834279302039,14560
TRBV5-4,0.980170305365518,12648
TRBV30,0.963043673685744,12427
TRBV4-2,0.850751866880349,10978
TRBV6-6,0.753184313555303,9719
TRBV6-1,0.570758562540879,7365
TRBV6-4,0.549369646958899,7089
TRBV28,0.431110642690416,5563
TRBV27,0.415533932429626,5362
TRBV3-1,0.367641360583018,4744
TRBV5-8,0.36647891951878,4729
TRBV10-1,0.359116792778606,4634
TRBV18,0.340440239679848,4393
TRBV11-1,0.285728013589711,3687
TRBV6-2,0.250932277733519,3238
TRBV6-3,0.250544797378773,3233
TRBV12-5,0.246127521334668,3176
TRBV13,0.237680449601205,3067
TRBV7-7,0.205752068370134,2655
TRBV16,0.155844598678847,2011
TRBV7-4,0.00123993713518725,16
TRBV6-9,0.000774960709492029,10
