ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,10.0217973069449,137288
TRBV7-2,9.46985679183937,129727
TRBV29-1,6.07769652250466,83258
TRBV2,4.98418125781995,68278
TRBV5-1,4.6356141424081,63503
TRBV9,4.09520736640937,56100
TRBV24-1,4.07856374288814,55872
TRBV25-1,3.92796814936046,53809
TRBV4-3,3.55574956894475,48710
TRBV6-5,3.40296402495376,46617
TRBV7-3,3.37544364746469,46240
TRBV15,3.00512302411719,41167
TRBV7-9,2.98336951618154,40869
TRBV12-4,2.68341930105541,36760
TRBV12-3,2.6676516577195,36544
TRBV7-8,2.55654817088037,35022
TRBV6-1,2.39974771770663,32874
TRBV10-3,2.0720581300451,28385
TRBV5-4,2.00562963265771,27475
TRBV11-2,1.93416424920468,26496
TRBV19,1.77079394464097,24258
TRBV5-5,1.67604208792797,22960
TRBV5-6,1.41419701086361,19373
TRBV4-1,1.40083831303736,19190
TRBV7-6,1.31805818552384,18056
TRBV10-2,1.2311901504788,16866
TRBV4-2,1.20439975647751,16499
TRBV28,1.13811725578767,15591
TRBV6-6,1.11307882215704,15248
TRBV6-2,1.00934816854443,13827
TRBV6-3,0.987302667213668,13525
TRBV11-3,0.768818609323057,10532
TRBV3-1,0.729837491075952,9998
TRBV30,0.706113027723313,9673
TRBV14,0.691294362921511,9470
TRBV12-5,0.58880468123811,8066
TRBV27,0.428646304020603,5872
TRBV18,0.381708365756767,5229
TRBV6-4,0.310169983954963,4249
TRBV13,0.306009078074654,4192
TRBV10-1,0.236514650038616,3240
TRBV11-1,0.219725029819825,3010
TRBV5-8,0.188043746450455,2576
TRBV7-7,0.140229828001291,1921
TRBV7-4,0.06474953536551,887
TRBV16,0.0330682519961399,453
TRBV6-9,0.00890579855083678,122
TRBV6-8,0.00124097192921496,17
