ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,27.4403541429106,412462
TRBV7-8,16.1915666193429,243379
TRBV7-2,6.51191320465005,97882
TRBV6-6,4.11197494281901,61808
TRBV3-1,3.44216903218767,51740
TRBV2,3.43252244328804,51595
TRBV5-1,3.35821044466118,50478
TRBV6-3,3.33991518985152,50203
TRBV6-2,3.29806895248689,49574
TRBV4-1,2.96968576070339,44638
TRBV12-3,2.47704444482883,37233
TRBV12-4,2.46653298933819,37075
TRBV11-2,2.01673583381788,30314
TRBV10-3,1.56713826289549,23556
TRBV7-9,1.5128512522603,22740
TRBV9,1.44060162781198,21654
TRBV14,1.23469685095421,18559
TRBV29-1,1.22757833362828,18452
TRBV15,1.18832669603665,17862
TRBV6-5,1.12292947611704,16879
TRBV10-2,1.06385243513168,15991
TRBV19,0.943170281587256,14177
TRBV6-1,0.872849974918869,13120
TRBV27,0.808251093390956,12149
TRBV7-6,0.77485393733842,11647
TRBV4-2,0.692225913798082,10405
TRBV7-3,0.583053138733915,8764
TRBV30,0.550387792873765,8273
TRBV24-1,0.41839584544701,6289
TRBV28,0.350337497555089,5266
TRBV5-4,0.292524492356575,4397
TRBV5-5,0.289198082391183,4347
TRBV6-4,0.289131554191875,4346
TRBV11-3,0.271900750571145,4087
TRBV5-8,0.254004664957335,3818
TRBV5-6,0.242960983872234,3652
TRBV10-1,0.229588815811358,3451
TRBV11-1,0.17623319996647,2649
TRBV13,0.139775746745773,2101
TRBV7-4,0.127800670870362,1921
TRBV25-1,0.112565713228866,1692
TRBV7-7,0.0581456461950527,874
TRBV18,0.058012589796437,872
TRBV12-5,0.0443743089383297,667
TRBV16,0.00558836874185861,84
