ReferenceName,UsageFrequency(%),UsageNumber
TRBV7-8,29.0046777582024,427714
TRBV5-1,9.03462409079381,133228
TRBV20-1,6.93356606841815,102245
TRBV14,6.37159763955628,93958
TRBV10-3,5.67454521041774,83679
TRBV13,3.77719820050751,55700
TRBV4-1,3.54541250123759,52282
TRBV7-9,3.06454872314426,45191
TRBV7-2,2.94736742169943,43463
TRBV2,2.64939598735418,39069
TRBV4-3,2.58972032458135,38189
TRBV24-1,2.22671598046436,32836
TRBV6-5,2.13584622124209,31496
TRBV12-3,1.59523896712278,23524
TRBV12-4,1.59103454542742,23462
TRBV11-3,1.49704537656021,22076
TRBV5-6,1.26817564717578,18701
TRBV27,1.22843708082933,18115
TRBV30,1.20951718320022,17836
TRBV6-1,1.17432210481488,17317
TRBV9,1.11464644204205,16437
TRBV29-1,0.92280274887803,13608
TRBV3-1,0.768459784706484,11332
TRBV7-6,0.756795905164522,11160
TRBV15,0.724177730398918,10679
TRBV7-3,0.722685838829598,10657
TRBV10-2,0.593501591577051,8752
TRBV11-2,0.550711428838807,8121
TRBV25-1,0.525959591438712,7756
TRBV19,0.447431844289921,6598
TRBV6-3,0.415695241815279,6130
TRBV6-2,0.414406790005411,6111
TRBV5-4,0.341575356121299,5037
TRBV4-2,0.326046121149733,4808
TRBV28,0.31214440425379,4603
TRBV5-8,0.298446127117299,4401
TRBV6-4,0.287189127094243,4235
TRBV6-6,0.261623530656337,3858
TRBV5-5,0.226631892030451,3342
TRBV18,0.102601452017376,1513
TRBV11-1,0.101177373701207,1492
TRBV10-1,0.101041747194905,1490
TRBV12-5,0.0854446989701879,1260
TRBV7-7,0.0697120242391692,1028
TRBV16,0.0101041747194905,149
