ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,18.5553679948901,214678
TRBV7-2,7.04770004814345,81539
TRBV5-1,6.48363511585112,75013
TRBV2,5.95085910563814,68849
TRBV7-8,3.89944673925351,45115
TRBV29-1,3.79054054638064,43855
TRBV24-1,3.30400645139543,38226
TRBV10-3,3.03606264353361,35126
TRBV6-1,3.00235358383486,34736
TRBV12-3,2.62680008539628,30391
TRBV12-4,2.62342917942641,30352
TRBV15,2.55990056691724,29617
TRBV6-5,2.5337112205359,29314
TRBV4-1,2.39878854825452,27753
TRBV7-9,2.20725194237652,25537
TRBV11-2,2.19368188501062,25380
TRBV5-6,2.11796615091805,24504
TRBV6-6,2.02202498100624,23394
TRBV4-2,1.73705377632224,20097
TRBV7-3,1.59296915448171,18430
TRBV7-6,1.50662210156108,17431
TRBV11-3,1.38302221599901,16001
TRBV5-4,1.36461188339431,15788
TRBV30,1.36150027788366,15752
TRBV5-5,1.2981445323473,15019
TRBV27,1.24827241069044,14442
TRBV4-3,1.13167363752735,13093
TRBV14,0.960794634900632,11116
TRBV28,0.902279164603067,10439
TRBV9,0.893290082016735,10335
TRBV10-2,0.831230838776482,9617
TRBV3-1,0.826304130051281,9560
TRBV6-2,0.769690196454671,8905
TRBV6-3,0.757675941844093,8766
TRBV18,0.67928076967291,7859
TRBV5-8,0.61799942781032,7150
TRBV12-5,0.548506904739062,6346
TRBV19,0.543493762527453,6288
TRBV7-7,0.538221319856624,6227
TRBV25-1,0.534418246454714,6183
TRBV6-4,0.520848189088809,6026
TRBV13,0.466481526138783,5397
TRBV11-1,0.417387305859585,4829
TRBV10-1,0.128699461260079,1489
TRBV6-9,0.0391543693423881,453
TRBV7-4,0.0280044495958802,324
TRBV16,0.0162494954445231,188
TRBV6-8,0.00259300459221113,30
