ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,20.4242609495633,274624
TRBV5-1,7.57862764828421,101902
TRBV5-4,6.88496255755442,92575
TRBV2,5.55489860530702,74691
TRBV4-1,3.97702806119603,53475
TRBV6-1,3.81192282892197,51255
TRBV15,3.44192349083034,46280
TRBV6-5,3.43099084707165,46133
TRBV29-1,3.38956579555064,45576
TRBV7-8,2.93314651155699,39439
TRBV12-4,2.84799088500123,38294
TRBV12-3,2.81645727307141,37870
TRBV10-3,2.65492188365733,35698
TRBV7-2,2.5813682463965,34709
TRBV24-1,2.17834786185006,29290
TRBV11-2,2.15202027075771,28936
TRBV7-9,1.6538040766118,22237
TRBV10-2,1.61699007211826,21742
TRBV28,1.58828258578593,21356
TRBV7-3,1.56121127743108,20992
TRBV9,1.54075905271245,20717
TRBV5-6,1.31652829806998,17702
TRBV5-5,1.24066913729541,16682
TRBV3-1,1.20363201762312,16184
TRBV6-6,1.11609649582737,15007
TRBV14,1.09616487319249,14739
TRBV19,1.06478000471517,14317
TRBV7-6,1.00922432520673,13570
TRBV27,1.00476202163176,13510
TRBV4-2,0.881899929867462,11858
TRBV25-1,0.83497137060398,11227
TRBV30,0.680798782088611,9154
TRBV13,0.620929542457703,8349
TRBV5-8,0.573406009384224,7710
TRBV6-4,0.394765122932745,5308
TRBV18,0.381824442565319,5134
TRBV11-3,0.375949076191602,5055
TRBV12-5,0.334672768123088,4500
TRBV11-1,0.315336119298199,4240
TRBV6-3,0.267738214498471,3600
TRBV6-2,0.267515099319722,3597
TRBV7-7,0.199464969801361,2682
TRBV10-1,0.135207798321728,1818
TRBV16,0.0291537166898335,392
TRBV7-4,0.0164361515011561,221
TRBV4-3,0.0098914395911935,133
TRBV6-9,0.00498290565872153,67
TRBV6-8,0.00371858631247876,50
