ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,25.625932096243,366857
TRBV5-1,5.74160807775996,82196
TRBV12-3,4.98328775448192,71340
TRBV12-4,4.98147158568999,71314
TRBV15,4.79824809564224,68691
TRBV5-6,4.46665758582271,63944
TRBV29-1,3.80326700824611,54447
TRBV4-1,3.76310173688604,53872
TRBV7-2,3.32393815246737,47585
TRBV2,3.0341195248623,43436
TRBV14,2.87576357673488,41169
TRBV6-5,2.79731905545252,40046
TRBV24-1,2.73780460119378,39194
TRBV5-5,2.69023494937429,38513
TRBV6-6,2.53306649622621,36263
TRBV7-9,1.86066492733579,26637
TRBV7-8,1.83754370156156,26306
TRBV4-3,1.67199293091224,23936
TRBV6-1,1.28123723006318,18342
TRBV7-3,1.2434469486618,17801
TRBV19,1.2248661448674,17535
TRBV3-1,1.20956841542766,17316
TRBV4-2,1.08516085318022,15535
TRBV10-3,1.05903596363471,15161
TRBV11-2,1.04352867625743,14939
TRBV9,1.03186328440155,14772
TRBV6-4,0.921985072489583,13199
TRBV27,0.865963250523022,12397
TRBV30,0.770823946884048,11035
TRBV7-6,0.652493564825002,9341
TRBV18,0.583199740148157,8349
TRBV13,0.506920650886954,7257
TRBV28,0.444821648732,6368
TRBV6-2,0.334175057715749,4784
TRBV6-3,0.325373624339456,4658
TRBV5-4,0.32467509788102,4648
TRBV25-1,0.322439813214025,4616
TRBV10-2,0.269002539143676,3851
TRBV5-8,0.26187756926763,3749
TRBV12-5,0.249024682432409,3565
TRBV7-7,0.175050730484044,2506
TRBV11-1,0.132161205936078,1892
TRBV11-3,0.118959055871639,1703
TRBV10-1,0.0218638781490446,313
TRBV6-9,0.00929040189719786,133
TRBV16,0.00516909579242588,74
