ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,17.1286645775526,223341
TRBV2,14.1934746629731,185069
TRBV5-1,6.95819164323699,90728
TRBV15,6.9055036344756,90041
TRBV29-1,4.92560023682761,64225
TRBV7-8,4.73609212962324,61754
TRBV7-2,4.24863218247997,55398
TRBV7-3,2.64421712674726,34478
TRBV10-3,2.58922833157707,33761
TRBV24-1,2.56806109661616,33485
TRBV12-4,2.32371758000218,30299
TRBV7-9,2.30761207514062,30089
TRBV12-3,2.30423758840772,30045
TRBV4-1,1.96149710637763,25576
TRBV7-6,1.95835269828561,25535
TRBV11-3,1.71117154510078,22312
TRBV6-6,1.61415505152995,21047
TRBV11-2,1.57826278355275,20579
TRBV19,1.44612095080765,18856
TRBV6-5,1.43377339708046,18695
TRBV6-1,1.38376963912932,18043
TRBV9,1.3571572096676,17696
TRBV4-2,1.12654171862609,14689
TRBV25-1,1.09716834547382,14306
TRBV5-6,1.03075231113995,13440
TRBV14,0.986577212091093,12864
TRBV5-4,0.873301827898109,11387
TRBV3-1,0.866169390030846,11294
TRBV5-5,0.835032080631827,10888
TRBV10-2,0.770993525587046,10053
TRBV30,0.696908203223862,9087
TRBV28,0.508780567864763,6634
TRBV7-7,0.485235853614766,6327
TRBV18,0.475649243578122,6202
TRBV5-8,0.365671653237743,4768
TRBV13,0.363984409871294,4746
TRBV11-1,0.324871040921787,4236
TRBV6-4,0.27724476225974,3615
TRBV27,0.26604760173694,3469
TRBV12-5,0.131298211061874,1712
TRBV6-2,0.0729349291587865,951
TRBV6-3,0.0698672139470604,911
TRBV16,0.0447886420912001,584
TRBV7-4,0.0282229799478795,368
TRBV4-3,0.0174092838265452,227
TRBV10-1,0.00306771521172603,40
TRBV6-9,0.00245417216938083,32
TRBV6-8,0.00153385760586302,20
