ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,15.29070087987,188590
TRBV5-1,9.12285424254316,112518
TRBV2,7.85291284649138,96855
TRBV10-3,4.86141966199759,59959
TRBV4-1,4.57504840420184,56427
TRBV6-5,3.49491309945807,43105
TRBV6-1,3.38091593398218,41699
TRBV29-1,3.34491682909506,41255
TRBV7-8,3.10330121521303,38275
TRBV7-9,3.08554489996465,38056
TRBV7-2,2.95216983793916,36411
TRBV24-1,2.75741792366244,34009
TRBV11-2,2.55650400044107,31531
TRBV7-3,2.42369649187101,29893
TRBV5-6,2.41380484593356,29771
TRBV15,2.23291745178228,27540
TRBV12-3,2.20405330462053,27184
TRBV12-4,2.18451324994081,26943
TRBV6-6,1.98059940131218,24428
TRBV9,1.63593229573751,20177
TRBV4-2,1.62839194268683,20084
TRBV27,1.44766670666567,17855
TRBV10-2,1.35199340989359,16675
TRBV5-4,1.33553435968619,16472
TRBV7-6,1.30318381272682,16073
TRBV25-1,1.18699751249428,14640
TRBV5-5,1.09586464336562,13516
TRBV3-1,1.00148861163452,12352
TRBV5-8,0.940760391903769,11603
TRBV14,0.84216824878949,10387
TRBV13,0.796926130485404,9829
TRBV30,0.777386075805683,9588
TRBV19,0.696631327004842,8592
TRBV11-3,0.591633937750737,7297
TRBV28,0.581012580227735,7166
TRBV6-4,0.535689382858588,6607
TRBV7-7,0.436854002549126,5388
TRBV11-1,0.42817854258759,5281
TRBV6-3,0.424935379985146,5241
TRBV6-2,0.416340999088671,5135
TRBV18,0.259858403520777,3205
TRBV10-1,0.170671431953584,2105
TRBV12-5,0.158509572194421,1955
TRBV7-4,0.0660794380247842,815
TRBV16,0.0412692441160923,509
TRBV6-9,0.0291884634219906,360
TRBV6-8,0.00064863252048868,8
