ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,16.8860156358422,248217
TRBV3-1,14.3909069387111,211540
TRBV6-6,8.90992655562479,130972
TRBV5-1,8.07663630748131,118723
TRBV6-1,5.3173700437292,78163
TRBV4-1,4.01426981487881,59008
TRBV6-5,3.80854937154581,55984
TRBV7-3,3.79399111265915,55770
TRBV29-1,3.52806478561263,51861
TRBV2,3.28812563097127,48334
TRBV5-4,2.50714987387378,36854
TRBV11-2,2.42497054333599,35646
TRBV7-6,2.37830247980212,34960
TRBV24-1,1.98189605675272,29133
TRBV7-2,1.63562718884103,24043
TRBV12-4,1.59508175754921,23447
TRBV12-3,1.58957138853136,23366
TRBV18,1.42378411326598,20929
TRBV15,1.40106234472324,20595
TRBV7-9,1.15023851054045,16908
TRBV27,1.1102373132257,16320
TRBV4-3,1.04628982091981,15380
TRBV7-8,0.953157781593463,14011
TRBV4-2,0.911251765358963,13395
TRBV12-5,0.870638304820008,12798
TRBV10-3,0.758117930060492,11144
TRBV30,0.57103750044219,8394
TRBV9,0.523825202931244,7700
TRBV5-5,0.47334750155787,6958
TRBV6-4,0.409195921510576,6015
TRBV28,0.365657203344862,5375
TRBV5-6,0.365180998614925,5368
TRBV19,0.320689870989336,4714
TRBV25-1,0.219122205018382,3221
TRBV7-7,0.212999572776328,3131
TRBV14,0.163814427098498,2408
TRBV5-8,0.133269295135365,1959
TRBV6-3,0.111159789816838,1634
TRBV6-2,0.110615555839767,1626
TRBV11-3,0.0928599223378115,1365
TRBV13,0.0893904307339811,1314
TRBV10-1,0.0323819216357496,476
TRBV10-2,0.0247626459567497,364
TRBV7-4,0.0119731474955713,176
TRBV16,0.00959212384588382,141
TRBV11-1,0.00789139266753563,116
