ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,10.0366719696523,143084
TRBV2,7.77146937595924,110791
TRBV5-5,7.68883819720934,109613
TRBV13,6.55528993863688,93453
TRBV5-1,5.7418848887355,81857
TRBV3-1,5.6758080038608,80915
TRBV7-6,5.1065787886185,72800
TRBV4-1,4.25894282595825,60716
TRBV10-3,3.47008863561754,49470
TRBV6-1,3.08807726085358,44024
TRBV6-6,3.03869496048013,43320
TRBV12-4,2.78364660230133,39684
TRBV12-3,2.75614963959338,39292
TRBV5-6,2.70718821109811,38594
TRBV29-1,2.63044923864277,37500
TRBV7-9,2.52277618314099,35965
TRBV11-2,2.24710510293123,32035
TRBV7-8,2.14665701467159,30603
TRBV9,2.10674433155725,30034
TRBV7-2,1.68306664085319,23994
TRBV27,1.64743282183371,23486
TRBV6-5,1.47950494243876,21092
TRBV4-2,1.43615513898592,20474
TRBV7-3,1.29782858168983,18502
TRBV24-1,1.19794165593443,17078
TRBV19,1.16855076977467,16659
TRBV15,1.03506423907767,14756
TRBV5-4,0.96505921667326,13758
TRBV14,0.702505310000196,10015
TRBV30,0.601075187358131,8569
TRBV10-2,0.563757880825919,8037
TRBV6-4,0.560320760487426,7988
TRBV18,0.51206078512246,7300
TRBV5-8,0.500346517846371,7133
TRBV6-3,0.329612825930197,4699
TRBV28,0.328771082173831,4687
TRBV11-3,0.31965219147987,4557
TRBV6-2,0.31824928521926,4537
TRBV25-1,0.268516258280654,3828
TRBV7-7,0.221027881359023,3151
TRBV11-1,0.180904762305592,2579
TRBV10-1,0.123245314994543,1757
TRBV12-5,0.0925918132002256,1320
TRBV7-4,0.0741435958732109,1057
TRBV4-3,0.0295311767858295,421
TRBV16,0.0279178345861286,398
TRBV6-9,0.00210435939091422,30
