ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,14.2059621474388,157820
TRBV29-1,9.93004135229382,110317
TRBV2,8.5151160006553,94598
TRBV15,7.57753330056835,84182
TRBV7-2,5.26679160568238,58511
TRBV10-3,4.88918413382517,54316
TRBV24-1,4.69484455534132,52157
TRBV7-9,4.09643347717523,45509
TRBV5-1,3.93872947462604,43757
TRBV7-8,3.48407027549593,38706
TRBV25-1,2.94758862298842,32746
TRBV12-3,2.33396522950793,25929
TRBV12-4,2.31632254429124,25733
TRBV7-3,2.1328746235177,23695
TRBV7-6,2.10776080119394,23416
TRBV11-2,1.97670085386996,21960
TRBV4-2,1.57469966928967,17494
TRBV5-6,1.48999677750954,16553
TRBV7-7,1.4872063528069,16522
TRBV11-3,1.40502384462915,15609
TRBV19,1.38441070730965,15380
TRBV4-1,1.31906076104783,14654
TRBV10-2,1.21455485524897,13493
TRBV14,1.11247931935241,12359
TRBV6-6,1.09168615463274,12128
TRBV9,0.993571221539918,11038
TRBV13,0.920390083370689,10225
TRBV6-5,0.910848631161663,10119
TRBV5-8,0.583198762851706,6479
TRBV5-5,0.548453474618837,6093
TRBV5-4,0.548093419818496,6089
TRBV30,0.422794349299963,4697
TRBV10-1,0.35006327963116,3889
TRBV11-1,0.315858073598802,3509
TRBV18,0.29398474447811,3266
TRBV12-5,0.290564223874874,3228
TRBV6-4,0.286963675871468,3188
TRBV6-1,0.243577072430424,2706
TRBV3-1,0.230795127018332,2564
TRBV27,0.202890879991935,2254
TRBV4-3,0.160044358751402,1778
TRBV28,0.0756115080715285,840
TRBV6-2,0.0473472062447905,526
TRBV6-3,0.0453669048429171,504
TRBV7-4,0.0230435072217992,256
TRBV16,0.0108916577103035,121
TRBV6-9,0.00180027400170306,20
TRBV6-8,0.000810123300766377,9
