ReferenceName,UsageFrequency(%),UsageNumber
TRBV5-1,30.7531055421931,448912
TRBV20-1,12.6810524419259,185109
TRBV7-8,9.34844755430631,136462
TRBV25-1,5.55678485527108,81114
TRBV7-2,5.01079309926706,73144
TRBV7-3,4.96619578017564,72493
TRBV24-1,4.55995599183136,66563
TRBV7-9,4.01232009503134,58569
TRBV30,3.36870747926499,49174
TRBV14,2.54656857539995,37173
TRBV11-2,2.36091767718529,34463
TRBV15,1.70682366384445,24915
TRBV19,1.6780511999145,24495
TRBV4-1,1.64297619626657,23983
TRBV2,1.53131163387177,22353
TRBV12-4,1.20460715653385,17584
TRBV12-3,1.19542737042287,17450
TRBV29-1,0.863858976563458,12610
TRBV11-3,0.809259800963055,11813
TRBV11-1,0.620046597690393,9051
TRBV7-6,0.538182087223039,7856
TRBV4-3,0.451179636768195,6586
TRBV5-6,0.373630995890333,5454
TRBV10-3,0.312249739506443,4558
TRBV5-8,0.303755012060458,4434
TRBV9,0.292314532354978,4267
TRBV10-1,0.26333655082553,3844
TRBV4-2,0.233262475432084,3405
TRBV10-2,0.202845870706138,2961
TRBV7-7,0.142629214052745,2082
TRBV6-6,0.12296803036728,1795
TRBV5-5,0.103991905346814,1518
TRBV13,0.0691224192983766,1009
TRBV12-5,0.0525439996054062,767
TRBV18,0.0390483439049303,570
TRBV5-4,0.0235660180759579,344
TRBV6-5,0.0168524431589699,246
TRBV3-1,0.0121255383704784,177
TRBV7-4,0.0119200207709787,174
TRBV6-1,0.00664506905048814,97
TRBV6-4,0.00328828159199413,48
TRBV27,0.00321977572549425,47
TRBV6-3,0.00212368186149621,31
TRBV6-2,0.00198667012849645,29
