ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,20.3402063951715,280118
TRBV7-2,7.11788864652285,98025
TRBV7-8,6.66347653583742,91767
TRBV5-1,6.4075157352356,88242
TRBV2,4.57469117694044,63001
TRBV10-3,3.6677548933896,50511
TRBV4-1,3.50626359678295,48287
TRBV7-6,3.39487526540049,46753
TRBV6-5,3.3096276115263,45579
TRBV25-1,3.01801383132292,41563
TRBV24-1,3.0082836902504,41429
TRBV6-1,2.378220749308,32752
TRBV29-1,2.31584618825354,31893
TRBV15,2.06852633382807,28487
TRBV6-6,2.03251028926112,27991
TRBV3-1,1.95975207019643,26989
TRBV12-3,1.90805161912452,26277
TRBV12-4,1.88169310263701,25914
TRBV7-9,1.87929687386542,25881
TRBV11-2,1.70001539395453,23412
TRBV7-3,1.61295241525338,22213
TRBV5-4,1.3284547083717,18295
TRBV19,1.12412174584872,15481
TRBV5-6,1.00590779311687,13853
TRBV9,1.00416508128298,13829
TRBV27,0.963501805159008,13269
TRBV5-8,0.937869418602287,12916
TRBV30,0.899239306284509,12384
TRBV4-2,0.87745540836095,12084
TRBV18,0.84833759813646,11683
TRBV6-3,0.846449660316418,11657
TRBV6-2,0.844997400454848,11637
TRBV6-4,0.715455820802751,9853
TRBV28,0.598911966911711,8248
TRBV10-2,0.597532320043219,8229
TRBV14,0.589544890804581,8119
TRBV5-5,0.580395653676686,7993
TRBV10-1,0.433136503713428,5965
TRBV11-3,0.347307945894607,4783
TRBV7-7,0.190318654858826,2621
TRBV12-5,0.176522186173905,2431
TRBV13,0.15009105669332,2067
TRBV11-1,0.146750859011708,2021
TRBV4-3,0.0161926974565121,223
TRBV16,0.0120537568510359,166
TRBV6-9,0.0114728529064077,158
TRBV7-4,0.00784220325248119,108
TRBV6-8,0.000508290951549707,7
