ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,14.5748851351558,142653
TRBV29-1,11.5998933343142,113535
TRBV15,9.76542744434534,95580
TRBV2,9.24773105534662,90513
TRBV10-3,7.45842439252155,73000
TRBV24-1,7.30128662929281,71462
TRBV7-2,5.18993950502626,50797
TRBV25-1,4.69472055940226,45950
TRBV5-1,4.13564524055462,40478
TRBV7-8,3.06888621202972,30037
TRBV10-2,2.42531614013256,23738
TRBV7-9,2.14291771518831,20974
TRBV7-6,1.89127251958858,18511
TRBV12-3,1.50639738689504,14744
TRBV12-4,1.50578436571209,14738
TRBV7-3,1.44233667327708,14117
TRBV11-2,1.13786948574675,11137
TRBV14,0.91789705126594,8984
TRBV7-7,0.882443992852173,8637
TRBV4-1,0.844743190100934,8268
TRBV5-6,0.819915832191581,8025
TRBV19,0.772713201104664,7563
TRBV9,0.729086526918271,7136
TRBV5-4,0.639789774602328,6262
TRBV11-3,0.617516671621921,6044
TRBV4-2,0.49940792370747,4888
TRBV6-5,0.466917801011281,4570
TRBV6-6,0.446790272171188,4373
TRBV10-1,0.444440357636558,4350
TRBV4-3,0.43963835837014,4303
TRBV6-4,0.424312828796466,4153
TRBV5-5,0.340533267127046,3333
TRBV13,0.271568384045511,2658
TRBV30,0.269831490693828,2641
TRBV12-5,0.263496938470042,2579
TRBV11-1,0.181760780743779,1779
TRBV6-1,0.181454270152305,1776
TRBV5-8,0.162654953875264,1592
TRBV27,0.0602804163231194,590
TRBV28,0.0520046303533352,509
TRBV3-1,0.0489395244386003,479
TRBV7-4,0.031774931316085,311
TRBV6-3,0.031774931316085,311
TRBV6-2,0.0268707618525091,263
TRBV18,0.0245208473178791,240
TRBV16,0.0161428911509371,158
TRBV6-9,0.00204340394315659,20
