ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,12.0143465843903,170167
TRBV2,9.43859810147808,133685
TRBV5-1,7.0880740487092,100393
TRBV9,6.75207308850473,95634
TRBV7-2,4.67428946634519,66205
TRBV4-1,4.27898175964529,60606
TRBV7-9,3.42976563244644,48578
TRBV12-4,3.37448327232034,47795
TRBV12-3,3.36262192302125,47627
TRBV6-5,3.34828945928486,47424
TRBV6-1,3.14113946616868,44490
TRBV7-3,3.00466334595955,42557
TRBV11-2,2.44866259756489,34682
TRBV6-6,2.39069731319257,33861
TRBV7-8,2.15975401820858,30590
TRBV10-3,2.06182728322149,29203
TRBV7-6,2.05264885816862,29073
TRBV5-6,2.02942038245791,28744
TRBV30,2.0003318353673,28332
TRBV5-5,1.99447176398739,28249
TRBV4-3,1.77157724174207,25092
TRBV6-4,1.70838731541658,24197
TRBV15,1.47553773215238,20899
TRBV29-1,1.39610905381028,19774
TRBV19,1.39137863474458,19707
TRBV24-1,1.22666120668048,17374
TRBV28,1.16678963402795,16526
TRBV18,1.15987051360348,16428
TRBV3-1,1.04697588545326,14829
TRBV4-2,0.858041535903528,12153
TRBV14,0.76724573114981,10867
TRBV12-5,0.678073801597752,9604
TRBV13,0.621520582618181,8803
TRBV5-4,0.588972475315332,8342
TRBV6-3,0.435833983471775,6173
TRBV6-2,0.430044515361506,6091
TRBV27,0.387188330691594,5484
TRBV11-1,0.365583730182545,5178
TRBV25-1,0.360288484959738,5103
TRBV10-2,0.352451522029985,4992
TRBV5-8,0.269280870397108,3814
TRBV7-7,0.259255206108595,3672
TRBV11-3,0.133087163266531,1885
TRBV16,0.0595891595739799,844
TRBV6-9,0.0290885470906158,412
TRBV10-1,0.0147560833542201,209
TRBV7-4,0.0012708588534735,18
