ReferenceName,UsageFrequency(%),UsageNumber
TRBJ1-2,21.1919950012885,300156
TRBJ1-6,17.6097263064252,249418
TRBJ2-7,14.6187599947754,207055
TRBJ1-5,10.1941942931377,144387
TRBJ2-3,6.94178407402047,98321
TRBJ1-3,6.51329283059098,92252
TRBJ2-5,6.47947386443466,91773
TRBJ2-1,5.90264515149697,83603
TRBJ1-4,4.70055388265031,66577
TRBJ2-2,4.5782690196383,64845
TRBJ2-6,0.61361301641879,8691
TRBJ1-1,0.346803260458992,4912
TRBJ2-4,0.308889304663699,4375
