ReferenceName,UsageFrequency(%),UsageNumber
TRBV7-2,14.9510588431474,211598
TRBV20-1,11.3987356485083,161323
TRBV29-1,6.86716536974191,97189
TRBV2,5.40850480226049,76545
TRBV5-6,5.31954657447231,75286
TRBV5-1,4.69153964152449,66398
TRBV4-3,3.98227618597428,56360
TRBV6-5,3.46788706897831,49080
TRBV4-1,3.07736115556667,43553
TRBV7-9,2.97872280291195,42157
TRBV6-1,2.78851188217663,39465
TRBV24-1,2.19851887023757,31115
TRBV12-4,2.13584536106512,30228
TRBV12-3,2.12454010574653,30068
TRBV5-5,2.05381160215959,29067
TRBV3-1,1.99728532556662,28267
TRBV13,1.767294037679,25012
TRBV4-2,1.70002776853338,24060
TRBV19,1.69084224858702,23930
TRBV7-8,1.50154987984633,21251
TRBV6-6,1.44212663157798,20410
TRBV7-3,1.38877995804337,19655
TRBV9,1.37076220737936,19400
TRBV10-3,1.31840474368513,18659
TRBV15,1.27127596057575,17992
TRBV7-7,1.16055511629928,16425
TRBV11-2,1.13123211031668,16010
TRBV30,1.03852901670422,14698
TRBV7-6,0.981932082265517,13897
TRBV18,0.914524497428408,12943
TRBV5-4,0.807053914056036,11422
TRBV6-4,0.640796003026982,9069
TRBV6-2,0.589922354093315,8349
TRBV14,0.582856569519195,8249
TRBV6-3,0.578687756620464,8190
TRBV28,0.576497363402486,8159
TRBV27,0.517568720054322,7325
TRBV25-1,0.369469875380757,5229
TRBV10-2,0.331385296526248,4690
TRBV6-9,0.282419409427594,3997
TRBV5-8,0.225398527914442,3190
TRBV11-3,0.192048024724593,2718
TRBV11-1,0.136016353051818,1925
TRBV10-1,0.0234584047860798,332
TRBV12-5,0.022822484174409,323
TRBV6-8,0.00176644614353011,25
TRBV16,0.0016251304520477,23
TRBV7-4,0.00105986768611807,15
