ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,20.2012369384979,280055
TRBV7-2,9.99808125938632,138606
TRBV5-1,4.55030057865177,63082
TRBV2,4.09045202932066,56707
TRBV7-6,4.02942742183296,55861
TRBV4-3,3.9104077973002,54211
TRBV4-2,3.52132182473675,48817
TRBV15,3.50343281450395,48569
TRBV10-3,3.35988793400686,46579
TRBV6-5,3.13057679074042,43400
TRBV24-1,2.73651363387832,37937
TRBV12-3,2.49205453839862,34548
TRBV12-4,2.46615875342452,34189
TRBV29-1,2.44466308790285,33891
TRBV6-6,2.17452460676637,30146
TRBV7-3,1.98091935085975,27462
TRBV7-9,1.71748924856058,23810
TRBV7-8,1.62479820763659,22525
TRBV11-2,1.53766141585745,21317
TRBV4-1,1.52684144999084,21167
TRBV6-1,1.46422991417603,20299
TRBV5-4,1.24191568216999,17217
TRBV19,1.18990771290447,16496
TRBV11-3,1.17692375386453,16316
TRBV14,1.11106622828974,15403
TRBV5-6,1.07240288359304,14867
TRBV6-3,1.0690126276215,14820
TRBV6-2,1.06764209861173,14801
TRBV9,1.0364084638101,14368
TRBV30,0.983967695909909,13641
TRBV27,0.966150818782884,13394
TRBV18,0.925179214701304,12826
TRBV3-1,0.763673190865641,10587
TRBV28,0.737633139679989,10226
TRBV25-1,0.607649283069062,8424
TRBV10-2,0.566533412775927,7854
TRBV5-5,0.565451416189266,7839
TRBV6-4,0.473625972534599,6566
TRBV7-7,0.463888003254646,6431
TRBV11-1,0.426811586885047,5917
TRBV5-8,0.281751911166638,3906
TRBV12-5,0.264728498203164,3670
TRBV13,0.246550955547252,3418
TRBV10-1,0.210123737129651,2913
TRBV7-4,0.0836022695960402,1159
TRBV6-9,0.00353452218309402,49
TRBV16,0.00288532423109716,40
