ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,20.3229629782096,236969
TRBV5-1,8.40597384598496,98015
TRBV2,6.22804489818322,72620
TRBV4-1,3.8878540260168,45333
TRBV29-1,3.67868022394204,42894
TRBV7-2,3.58365579889127,41786
TRBV10-3,3.55809868818267,41488
TRBV11-2,3.4575854876777,40316
TRBV6-5,2.9244881716889,34100
TRBV24-1,2.87208751852462,33489
TRBV7-8,2.78984164882815,32530
TRBV7-3,2.71771570887535,31689
TRBV6-1,2.62826582139525,30646
TRBV15,2.56788929139909,29942
TRBV12-3,2.54687757286349,29697
TRBV12-4,2.54601995169878,29687
TRBV7-9,2.36892118118448,27622
TRBV5-6,1.71978772160931,20053
TRBV30,1.61001221252539,18773
TRBV6-6,1.59346012404633,18580
TRBV7-6,1.54997873099511,18073
TRBV5-4,1.43402834952522,16721
TRBV27,1.33523039134969,15569
TRBV3-1,1.23900529666831,14447
TRBV18,1.19209341895823,13900
TRBV4-2,1.12356948789725,13101
TRBV9,1.09895576046984,12814
TRBV5-5,1.09715475602393,12793
TRBV10-2,1.07605727537186,12547
TRBV28,0.979660656457544,11423
TRBV13,0.788325374608925,9192
TRBV14,0.677949530709699,7905
TRBV6-4,0.597504665459136,6967
TRBV12-5,0.485156292881058,5657
TRBV5-8,0.467403534771393,5450
TRBV11-3,0.448707393380537,5232
TRBV7-7,0.446048767769911,5201
TRBV19,0.418690652615402,4882
TRBV25-1,0.369634721993523,4310
TRBV11-1,0.312431390306823,3643
TRBV6-2,0.300853504583127,3508
TRBV6-3,0.290733574839453,3390
TRBV10-1,0.189276991053296,2207
TRBV7-4,0.0383356660629014,447
TRBV16,0.0131216038201877,153
TRBV6-9,0.0107202645589769,125
TRBV4-3,0.00823316318129425,96
TRBV6-8,0.00291591196004171,34
