ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,15.2147251224228,171693
TRBV2,7.77152346636939,87699
TRBV29-1,7.27057793500203,82046
TRBV5-1,6.42651174248936,72521
TRBV24-1,6.03864006536307,68144
TRBV15,5.79707319493897,65418
TRBV7-2,5.17764824106353,58428
TRBV25-1,3.69838346924054,41735
TRBV10-3,3.68792679619944,41617
TRBV7-8,3.64822688499255,41169
TRBV7-9,3.03208071842661,34216
TRBV12-4,2.29993637380302,25954
TRBV12-3,2.29399911029663,25887
TRBV11-2,2.24215882445727,25302
TRBV7-3,2.20121829102516,24840
TRBV7-6,1.87670696325809,21178
TRBV10-2,1.86137641718935,21005
TRBV4-1,1.79518035988678,20258
TRBV6-5,1.55201840374455,17514
TRBV14,1.41067608594322,15919
TRBV5-6,1.40385266370453,15842
TRBV9,1.40110557163441,15811
TRBV19,1.21049282831738,13660
TRBV30,1.17336277743415,13241
TRBV4-3,1.06551725971363,12024
TRBV5-4,0.913452421251504,10308
TRBV4-2,0.773439341548616,8728
TRBV5-5,0.699090623908917,7889
TRBV13,0.649997430139676,7335
TRBV6-1,0.637502592014292,7194
TRBV6-4,0.630058858662999,7110
TRBV7-7,0.562533563261986,6348
TRBV6-6,0.553937823558707,6251
TRBV11-3,0.44369967726099,5007
TRBV5-8,0.39168215967517,4420
TRBV10-1,0.378035315197799,4266
TRBV11-1,0.33124613413253,3738
TRBV3-1,0.327524267456884,3696
TRBV18,0.314763581711811,3552
TRBV12-5,0.175104965501841,1976
TRBV27,0.169965244854519,1918
TRBV28,0.15330546068734,1730
TRBV6-2,0.140013079702889,1580
TRBV6-3,0.134784743182338,1521
TRBV7-4,0.0386365207281389,436
TRBV16,0.0264075302224436,298
TRBV6-9,0.00389909842210576,44
