ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,13.5796289834513,189916
TRBV5-1,10.584711441107,148031
TRBV2,7.37578439167815,103153
TRBV6-4,5.8835096129095,82283
TRBV7-2,3.77394646973692,52780
TRBV4-1,3.73469113415743,52231
TRBV7-9,3.65846856999033,51165
TRBV7-8,3.28407706344349,45929
TRBV6-5,3.24732434488637,45415
TRBV15,3.20470835216255,44819
TRBV9,2.92720387605324,40938
TRBV19,2.87514944198791,40210
TRBV10-2,2.61230315129535,36534
TRBV29-1,2.4629326667315,34445
TRBV12-3,2.28067064415932,31896
TRBV12-4,2.26594095539907,31690
TRBV7-3,2.25500094384413,31537
TRBV5-5,2.19458061858973,30692
TRBV11-2,1.91014031816128,26714
TRBV24-1,1.78193482327234,24921
TRBV30,1.69992048828203,23774
TRBV5-6,1.62913217822065,22784
TRBV25-1,1.54668882316937,21631
TRBV6-1,1.34819554162353,18855
TRBV4-3,1.29778568445861,18150
TRBV10-3,1.17801758410223,16475
TRBV11-3,0.968655794344944,13547
TRBV7-6,0.953783098897705,13339
TRBV6-6,0.952424535371274,13320
TRBV18,0.860185222260993,12030
TRBV4-2,0.824290543825829,11528
TRBV28,0.765943815532814,10712
TRBV6-3,0.634377663499545,8872
TRBV6-2,0.630230469576757,8814
TRBV14,0.477499327868571,6678
TRBV3-1,0.36180691809149,5060
TRBV27,0.354942597115841,4964
TRBV5-4,0.352082463375987,4924
TRBV13,0.349436839666623,4887
TRBV12-5,0.342572518690974,4791
TRBV7-7,0.275788395865391,3857
TRBV5-8,0.170106454177797,2379
TRBV11-1,0.0697872632524297,976
TRBV16,0.0446180863417173,624
TRBV7-4,0.00807987781508663,113
TRBV6-9,0.00629229422767809,88
TRBV10-1,0.00464771732726222,65
