ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,20.7304961557031,285966
TRBV29-1,9.03188671394168,124590
TRBV5-1,7.86910107390938,108550
TRBV15,6.83578770027968,94296
TRBV7-2,4.76118673728439,65678
TRBV2,3.76600461344627,51950
TRBV7-9,3.4199961433793,47177
TRBV6-5,3.34431358675874,46133
TRBV4-1,2.80155946662646,38646
TRBV12-4,2.64816455301621,36530
TRBV12-3,2.60938086739169,35995
TRBV7-8,2.49360975348075,34398
TRBV6-6,2.12157634296667,29266
TRBV24-1,2.09359409502075,28880
TRBV14,1.78803664659581,24665
TRBV7-3,1.65624460834277,22847
TRBV10-3,1.4427531052321,19902
TRBV5-6,1.40657916293932,19403
TRBV5-5,1.36844791314774,18877
TRBV11-2,1.28566105523522,17735
TRBV19,1.22578194434577,16909
TRBV18,1.11784006043006,15420
TRBV4-3,1.11508533135766,15382
TRBV6-1,1.10036927868144,15179
TRBV9,1.09123517702034,15053
TRBV7-6,1.08869792655892,15018
TRBV4-2,1.06912485157085,14748
TRBV27,0.941972357018687,12994
TRBV3-1,0.867812150674981,11971
TRBV6-4,0.833957980232644,11504
TRBV25-1,0.786330164428328,10847
TRBV28,0.763784881756879,10536
TRBV5-4,0.672661343756842,9279
TRBV6-2,0.670124093295424,9244
TRBV6-3,0.666934407001071,9200
TRBV30,0.659612627098125,9099
TRBV13,0.358984693855359,4952
TRBV7-7,0.33796176146076,4662
TRBV10-2,0.284027065938065,3918
TRBV12-5,0.282577208531541,3898
TRBV11-3,0.214361417554584,2957
TRBV5-8,0.177897503780503,2454
TRBV11-1,0.148610384168717,2050
TRBV6-9,0.0327667773874439,452
TRBV16,0.00942407314240644,130
TRBV10-1,0.00768424425457756,106
