ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,21.7003572157925,259275
TRBV5-1,8.19830330868198,97953
TRBV2,6.90218246462158,82467
TRBV7-2,6.20398796112474,74125
TRBV7-8,3.69661431742323,44167
TRBV29-1,3.64832155447457,43590
TRBV24-1,3.51733685080968,42025
TRBV10-3,3.20238768794003,38262
TRBV4-1,3.03616684354484,36276
TRBV7-3,2.895640762105,34597
TRBV6-5,2.83111091767967,33826
TRBV15,2.61224510292971,31211
TRBV6-1,2.58981449552894,30943
TRBV7-9,2.57767853256958,30798
TRBV12-4,2.05792453272358,24588
TRBV12-3,2.03674936976689,24335
TRBV11-2,1.74473299207563,20846
TRBV6-6,1.72180020689724,20572
TRBV7-6,1.46376452549222,17489
TRBV5-6,1.30608070331672,15605
TRBV4-2,1.30239806628077,15561
TRBV3-1,1.28624468110037,15368
TRBV10-2,1.22807575519168,14673
TRBV5-4,1.17325468113385,14018
TRBV27,0.947525770089622,11321
TRBV25-1,0.928275621947177,11091
TRBV14,0.824073733089163,9846
TRBV10-1,0.812774733092511,9711
TRBV5-5,0.783899510878845,9366
TRBV9,0.726149066451511,8676
TRBV6-4,0.636259244255923,7602
TRBV30,0.634501622034222,7581
TRBV18,0.628391792406402,7508
TRBV28,0.615921044261949,7359
TRBV5-8,0.548629222059665,6555
TRBV7-7,0.537665007248099,6424
TRBV19,0.535991081322669,6404
TRBV13,0.422415207282247,5047
TRBV11-3,0.406847696175749,4861
TRBV6-3,0.256863933257226,3069
TRBV6-2,0.254436740665352,3040
TRBV12-5,0.247155162889732,2953
TRBV11-1,0.237697481411053,2840
TRBV16,0.0381655110998028,456
TRBV7-4,0.0245230148075487,293
TRBV6-8,0.00853702221969273,102
TRBV6-9,0.00811854073833525,97
TRBV4-3,0.00200871111051594,24
