ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,22.0717867450426,287472
TRBV7-2,6.55822413452893,85417
TRBV29-1,6.48474671789356,84460
TRBV5-1,4.3737105941843,56965
TRBV2,4.27973320864438,55741
TRBV5-6,3.38464467872249,44083
TRBV10-3,3.32552491821127,43313
TRBV24-1,2.89087951008913,37652
TRBV7-8,2.35665185601498,30694
TRBV4-3,2.28739727941611,29792
TRBV15,2.21077192748078,28794
TRBV4-1,2.17668209154964,28350
TRBV6-5,2.12124771870664,27628
TRBV11-2,2.07802119251467,27065
TRBV12-4,2.0745661415757,27020
TRBV12-3,2.0618208425564,26854
TRBV7-9,1.98220111314063,25817
TRBV5-5,1.89935666951516,24738
TRBV7-3,1.67462480066276,21811
TRBV11-3,1.51415687927515,19721
TRBV6-1,1.47515319311969,19213
TRBV4-2,1.43530493895693,18694
TRBV18,1.41787612644258,18467
TRBV5-4,1.34946611785102,17576
TRBV6-4,1.27890629978632,16657
TRBV9,1.27476023865956,16603
TRBV30,1.12028107223283,14591
TRBV27,1.09210321235281,14224
TRBV6-6,1.08265940645296,14101
TRBV28,0.98614831689113,12844
TRBV25-1,0.931251396416421,12129
TRBV19,0.912517342436241,11885
TRBV6-3,0.897084781575519,11684
TRBV7-6,0.888946217141506,11578
TRBV13,0.886105397480577,11541
TRBV6-2,0.878427506505093,11441
TRBV10-2,0.872438751544216,11363
TRBV14,0.825450058774255,10751
TRBV3-1,0.794815273782075,10352
TRBV7-7,0.512729559342803,6678
TRBV10-1,0.493995505362623,6434
TRBV12-5,0.262660650271298,3421
TRBV11-1,0.25713256876895,3349
TRBV5-8,0.194864872957777,2538
TRBV16,0.0367770977725671,479
TRBV6-9,0.0182733805216513,238
TRBV7-4,0.0171216968753287,223
