ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,18.132778970984,236815
TRBV7-2,7.54997109505706,98603
TRBV2,7.3040302295933,95391
TRBV5-1,4.97157361572123,64929
TRBV6-5,3.89914280573198,50923
TRBV4-3,3.55496341897619,46428
TRBV4-1,3.45542321813469,45128
TRBV10-3,3.10197893576211,40512
TRBV7-3,3.09868645219582,40469
TRBV7-9,2.81537972672386,36769
TRBV29-1,2.71675835850552,35481
TRBV7-8,2.62372655541135,34266
TRBV5-6,2.62204202893557,34244
TRBV12-3,2.48337487222484,32433
TRBV12-4,2.48322173345431,32431
TRBV10-2,2.24708174930418,29347
TRBV11-2,2.10741919058503,27523
TRBV18,1.80971742068369,23635
TRBV4-2,1.73621081083151,22675
TRBV24-1,1.64624178314784,21500
TRBV6-1,1.45344007105639,18982
TRBV7-6,1.45167897519535,18959
TRBV9,1.40443566448827,18342
TRBV6-6,1.38789667727153,18126
TRBV5-4,1.27533968093537,16656
TRBV30,1.21653439305363,15888
TRBV19,1.20619752604316,15753
TRBV15,1.15367092775296,15067
TRBV3-1,1.08001117913025,14105
TRBV28,0.837515936003308,10938
TRBV6-3,0.777485537957359,10154
TRBV6-2,0.763626479224812,9973
TRBV6-4,0.75390216729645,9846
TRBV5-5,0.751681655123832,9817
TRBV14,0.640656046492931,8367
TRBV27,0.639813783255041,8356
TRBV13,0.597011496893197,7797
TRBV5-8,0.465082446085582,6074
TRBV11-3,0.464852737929794,6071
TRBV7-7,0.37595568163981,4910
TRBV11-1,0.264623795467858,3456
TRBV25-1,0.258651383417368,3378
TRBV10-1,0.230473849640698,3010
TRBV12-5,0.107120569982504,1399
TRBV16,0.0554362349301879,724
TRBV7-4,0.0184532218483084,241
TRBV6-9,0.00773350791153173,101
TRBV6-8,0.000995402008414976,13
