ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,14.3290999211426,167354
TRBV2,11.3392828857184,132435
TRBV29-1,7.01890779506666,81976
TRBV5-1,6.78618856764655,79258
TRBV15,5.56599662137575,65007
TRBV7-8,5.03702701615078,58829
TRBV24-1,4.78076187719994,55836
TRBV7-2,3.65107185270363,42642
TRBV7-3,3.16705353312824,36989
TRBV7-9,2.83886633713807,33156
TRBV7-6,2.53610872560108,29620
TRBV10-3,2.24217012820107,26187
TRBV12-4,2.24011521228566,26163
TRBV12-3,2.23472105800771,26100
TRBV11-2,2.13086218278306,24887
TRBV4-1,2.12581051449101,24828
TRBV9,1.65865962972128,19372
TRBV6-5,1.57980223146744,18451
TRBV14,1.50882201088934,17622
TRBV5-6,1.43844114078657,16800
TRBV6-6,1.30358728383783,15225
TRBV19,1.18825512808548,13878
TRBV30,1.12455273470779,13134
TRBV5-4,1.11325069717304,13002
TRBV4-2,1.10306173909246,12883
TRBV6-1,1.07001184145296,12497
TRBV11-3,1.02780044369059,12004
TRBV25-1,1.0170121351347,11878
TRBV10-2,0.906217918695539,10584
TRBV3-1,0.874709207992595,10216
TRBV7-7,0.837206992536374,9778
TRBV5-5,0.751927982046885,8782
TRBV13,0.595668750979296,6957
TRBV28,0.555512269132337,6488
TRBV18,0.395485692219831,4619
TRBV5-8,0.387266028558194,4523
TRBV6-4,0.377162691974098,4405
TRBV27,0.348222626165416,4067
TRBV11-1,0.322964284705175,3772
TRBV12-5,0.226383236680934,2644
TRBV6-2,0.0780011832890813,911
TRBV6-3,0.0764599963525242,893
TRBV16,0.0623324494340847,728
TRBV7-4,0.0410126968117123,479
TRBV4-3,0.0029111308801633,34
TRBV6-9,0.00239740190131095,28
TRBV6-8,0.000856214964753911,10
