ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,15.9573748475964,193442
TRBV7-2,9.95659282552494,120698
TRBV29-1,6.66574825818607,80805
TRBV5-1,5.59475748241688,67822
TRBV2,5.51300812873997,66831
TRBV9,3.78340298389266,45864
TRBV10-3,3.69794150012951,44828
TRBV7-9,3.52190404226219,42694
TRBV24-1,3.41986171078052,41457
TRBV15,3.15671293355617,38267
TRBV7-3,2.80999998350164,34064
TRBV7-8,2.74186177347427,33238
TRBV12-3,2.59321158646541,31436
TRBV12-4,2.58083781951129,31286
TRBV4-3,2.31810150118541,28101
TRBV4-1,2.02591561750872,24559
TRBV11-2,1.74668094324401,21174
TRBV30,1.56231181562757,18939
TRBV7-6,1.52007602442417,18427
TRBV19,1.4998655383991,18182
TRBV14,1.48196482220547,17965
TRBV25-1,1.39724576445957,16938
TRBV6-6,1.2853869111943,15582
TRBV5-6,1.26674376898342,15356
TRBV6-5,1.19563585488706,14494
TRBV5-5,1.14548085283302,13886
TRBV11-3,1.12048584358569,13583
TRBV10-2,1.1062147656986,13410
TRBV4-2,0.991963650822196,12025
TRBV6-1,0.834569335165751,10117
TRBV5-4,0.740363722755027,8975
TRBV18,0.627844935252202,7611
TRBV27,0.508479330034762,6164
TRBV6-4,0.447435413061088,5424
TRBV5-8,0.422192928474677,5118
TRBV3-1,0.4190582408463,5080
TRBV13,0.373935237353598,4533
TRBV11-1,0.318913220297597,3866
TRBV12-5,0.306786928682557,3719
TRBV28,0.302332372579072,3665
TRBV10-1,0.257209369086371,3118
TRBV7-7,0.231306950262406,2804
TRBV6-3,0.219428133986448,2660
TRBV6-2,0.215303545001741,2610
TRBV16,0.086533876899167,1049
TRBV7-4,0.0181481915327138,220
TRBV6-9,0.0128687176322879,156
