ReferenceName,UsageFrequency(%),UsageNumber
TRBV4-1,21.1390541465785,297937
TRBV20-1,13.138926434017,185182
TRBV7-9,7.03284696132793,99122
TRBV6-5,4.08431867122175,57565
TRBV7-2,4.04110925454887,56956
TRBV5-6,3.83130589641802,53999
TRBV12-3,3.16840675031839,44656
TRBV12-4,3.14513468353892,44328
TRBV7-3,2.92617859182711,41242
TRBV2,2.92589478613467,41238
TRBV29-1,2.8592713998361,40299
TRBV7-8,2.74759385986384,38725
TRBV13,2.36161811815541,33285
TRBV19,2.01274997073254,28368
TRBV5-1,1.77321796631936,24992
TRBV24-1,1.69290095536091,23860
TRBV6-6,1.59619416566448,22497
TRBV6-1,1.58647382069866,22360
TRBV7-6,1.50892391524143,21267
TRBV10-3,1.45329799952463,20483
TRBV11-3,1.24760982393404,17584
TRBV15,1.23696711046782,17434
TRBV11-2,1.20560658145401,16992
TRBV4-2,1.13706750673152,16026
TRBV9,1.11599493406839,15729
TRBV27,0.899167385049826,12673
TRBV14,0.857376996839114,12084
TRBV3-1,0.807427194970963,11380
TRBV18,0.789831242040137,11132
TRBV10-2,0.728032552512922,10261
TRBV30,0.715545102045884,10085
TRBV5-5,0.690712103958025,9735
TRBV6-4,0.605783250497547,8538
TRBV5-4,0.552782537435745,7791
TRBV25-1,0.418684347761305,5901
TRBV5-8,0.344823916305701,4860
TRBV28,0.306013487865533,4313
TRBV6-2,0.245137166838724,3455
TRBV6-3,0.239248198720746,3372
TRBV12-5,0.204836758513284,2887
TRBV10-1,0.166452038611764,2346
TRBV4-3,0.164465398764736,2318
TRBV7-7,0.146514688718369,2065
TRBV11-1,0.0822326993823679,1159
TRBV7-4,0.0491693362139611,693
TRBV6-9,0.00730799658014141,103
TRBV16,0.00539230815622084,76
TRBV6-8,0.00439898823270648,62
