ReferenceName,UsageFrequency(%),UsageNumber
TRBV6-6,23.9203990781215,356518
TRBV20-1,12.1979824682056,181803
TRBV29-1,8.15802098045202,121590
TRBV10-3,4.95768014036171,73891
TRBV7-8,4.70782020014291,70167
TRBV4-1,4.57604659042494,68203
TRBV7-9,3.63772992448513,54218
TRBV2,3.36304501705878,50124
TRBV12-4,2.98141146712201,44436
TRBV12-3,2.96094764280227,44131
TRBV11-3,2.88600307963782,43014
TRBV5-6,2.35079020554402,35037
TRBV11-2,2.0209536142133,30121
TRBV7-2,1.97680542928742,29463
TRBV19,1.68595074592317,25128
TRBV7-6,1.41354705169967,21068
TRBV5-1,1.40281193074505,20908
TRBV6-5,1.36866082720816,20399
TRBV9,1.20629212276953,17979
TRBV27,1.20253483043541,17923
TRBV24-1,1.18428512481255,17651
TRBV6-1,1.15899049606323,17274
TRBV4-3,1.15040239929953,17146
TRBV15,0.968911760660478,14441
TRBV7-3,0.899871514021074,13412
TRBV4-2,0.788695917634785,11755
TRBV25-1,0.513608443172631,7655
TRBV30,0.504349401349271,7517
TRBV10-2,0.495291643043809,7382
TRBV3-1,0.460134121917427,6858
TRBV14,0.341041373827104,5083
TRBV11-1,0.32406646381761,4830
TRBV5-4,0.286560634982404,4271
TRBV28,0.273141733789129,4071
TRBV5-5,0.228859359851319,3411
TRBV13,0.224699500481403,3349
TRBV6-4,0.20530918825712,3060
TRBV6-3,0.196788185999389,2933
TRBV6-2,0.195043728844264,2907
TRBV18,0.179947465001828,2682
TRBV7-7,0.120568827221583,1797
TRBV12-5,0.116408967851667,1735
TRBV5-8,0.0982934512407451,1465
TRBV10-1,0.0935968358230986,1395
TRBV7-4,0.0120770110739482,180
TRBV16,0.00248249672075602,37
TRBV6-9,0.00114060660142844,17
