ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,21.1500586015065,262023
TRBV7-2,7.66307523916841,94936
TRBV5-1,6.93749818383761,85947
TRBV2,5.43387715961888,67319
TRBV10-3,4.42893396917851,54869
TRBV29-1,3.33124541923485,41270
TRBV24-1,3.05341293236773,37828
TRBV15,2.75015417200753,34071
TRBV6-5,2.60147101081948,32229
TRBV7-8,2.43341545077958,30147
TRBV4-3,2.31726177599695,28708
TRBV7-9,2.28360223299184,28291
TRBV4-2,2.18141282904827,27025
TRBV6-1,2.17939487083453,27000
TRBV7-3,2.16526916333838,26825
TRBV12-3,2.10481113525486,26076
TRBV12-4,2.09690073905702,25978
TRBV4-1,1.93917712507144,24024
TRBV7-6,1.92715009411757,23875
TRBV5-4,1.74908546133754,21669
TRBV11-2,1.66626845624582,20643
TRBV5-6,1.54123576532276,19094
TRBV6-3,1.38690232113626,17182
TRBV6-2,1.38440005295122,17151
TRBV25-1,1.37447169853964,17028
TRBV9,1.37083937375492,16983
TRBV11-3,1.28471291719268,15916
TRBV6-6,1.15604790148489,14322
TRBV5-5,0.986297256545449,12219
TRBV10-2,0.894359080327652,11080
TRBV19,0.89314830539941,11065
TRBV14,0.695469118781864,8616
TRBV3-1,0.564624708203242,6995
TRBV6-4,0.504489553433919,6250
TRBV5-8,0.482857041382673,5982
TRBV27,0.471072165414456,5836
TRBV12-5,0.455493528004417,5643
TRBV13,0.444838708635892,5511
TRBV7-7,0.440237763908575,5454
TRBV28,0.409484080731243,5073
TRBV11-1,0.272747232168514,3379
TRBV10-1,0.245948747090104,3047
TRBV30,0.234325307778987,2903
TRBV7-4,0.0355160645617479,440
TRBV18,0.03099583816298,384
TRBV16,0.0288971616206949,358
TRBV6-9,0.0110584110112715,137
TRBV6-8,0.00605387464120703,75
