ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,14.6000761997002,205015
TRBV2,12.9920488817516,182435
TRBV15,10.5249589625446,147792
TRBV5-1,7.71432946044203,108325
TRBV7-8,6.80555901737994,95564
TRBV7-3,5.31026452690312,74567
TRBV7-2,4.09968629936512,57568
TRBV4-2,2.82757859429357,39705
TRBV12-4,2.5358120787207,35608
TRBV12-3,2.50996115239584,35245
TRBV7-6,2.4890240385129,34951
TRBV4-1,2.39950719446235,33694
TRBV6-6,2.06202085877774,28955
TRBV7-9,1.77929860668492,24985
TRBV6-1,1.77566665835829,24934
TRBV10-3,1.71221438465181,24043
TRBV18,1.6409284969075,23042
TRBV29-1,1.56971382383626,22042
TRBV3-1,1.26740753664885,17797
TRBV24-1,1.21121915959564,17008
TRBV6-5,1.20281582817324,16890
TRBV5-5,1.11472327758411,15653
TRBV9,1.02150327053386,14344
TRBV19,0.984970143248315,13831
TRBV11-2,0.93818210304051,13174
TRBV11-3,0.797177050359456,11194
TRBV30,0.76406222738133,10729
TRBV5-4,0.7428402548061,10431
TRBV5-6,0.699897806944143,9828
TRBV14,0.526632507361817,7395
TRBV10-2,0.478491388365659,6719
TRBV5-8,0.41361482119776,5808
TRBV13,0.350732264875855,4925
TRBV25-1,0.329154218935269,4622
TRBV28,0.325878343973992,4576
TRBV7-7,0.287778493880879,4041
TRBV27,0.238569154788653,3350
TRBV11-1,0.234153845058236,3288
TRBV6-4,0.230877970096959,3242
TRBV12-5,0.131604715835651,1848
TRBV6-2,0.093932153780965,1319
TRBV6-3,0.0915108548965429,1285
TRBV16,0.0725677518595931,1019
TRBV4-3,0.0525564287265748,738
TRBV7-4,0.0408772223428915,574
TRBV10-1,0.00761997001862264,107
