ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,17.9464628063909,240577
TRBV29-1,14.7061675789951,197140
TRBV2,9.38579333783903,125819
TRBV7-2,7.41380622233362,99384
TRBV24-1,6.14922798961005,82432
TRBV5-1,4.38618870503071,58798
TRBV7-8,2.68581139045419,36004
TRBV6-5,2.41770767594213,32410
TRBV5-6,2.3621324763563,31665
TRBV15,2.32423690402126,31157
TRBV7-9,1.98086422792247,26554
TRBV7-6,1.94983163325441,26138
TRBV4-1,1.69716961849304,22751
TRBV11-2,1.58795875648812,21287
TRBV19,1.51574829581821,20319
TRBV12-4,1.48001605339993,19840
TRBV12-3,1.44570116506506,19380
TRBV6-1,1.41123708156351,18918
TRBV5-5,1.36431520164473,18289
TRBV30,1.30911298997558,17549
TRBV10-3,1.23086012505539,16500
TRBV9,1.20348281197082,16133
TRBV7-3,1.19229317447032,15983
TRBV10-2,1.15409921180193,15471
TRBV6-6,1.05413845013077,14131
TRBV4-3,0.926576582625029,12421
TRBV3-1,0.787601284868775,10558
TRBV5-4,0.759925581450863,10187
TRBV4-2,0.745752040616892,9997
TRBV13,0.701963259198255,9410
TRBV25-1,0.670110091113488,8983
TRBV14,0.662650332779819,8883
TRBV28,0.576713916775952,7731
TRBV27,0.417671869102129,5599
TRBV11-1,0.417522673935455,5597
TRBV6-4,0.388205823684136,5204
TRBV6-2,0.301672627013575,4044
TRBV6-3,0.298539528513434,4002
TRBV18,0.274220716345673,3676
TRBV7-7,0.23326664309383,3127
TRBV11-3,0.204844963842551,2746
TRBV5-8,0.200219913675677,2684
TRBV12-5,0.0461013065020746,618
TRBV6-9,0.0143973335839812,193
TRBV7-4,0.00925010033374959,124
TRBV10-1,0.00477424533354817,64
TRBV16,0.00365528158349782,49
