ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,18.3811135327724,226275
TRBV29-1,7.34432206164162,90410
TRBV2,7.03384756855906,86588
TRBV5-1,6.09170126537446,74990
TRBV7-2,5.97188183123088,73515
TRBV15,5.19845753802338,63994
TRBV7-9,3.76452353700471,46342
TRBV24-1,3.70335470045548,45589
TRBV10-3,2.79508277288978,34408
TRBV25-1,2.76656980923934,34057
TRBV7-3,2.69354087954776,33158
TRBV7-8,2.59776656574756,31979
TRBV4-1,2.51555824889786,30967
TRBV6-5,2.22709803829185,27416
TRBV12-4,2.01044825465732,24749
TRBV12-3,1.98347872778568,24417
TRBV7-6,1.80078455328472,22168
TRBV11-2,1.63807382339347,20165
TRBV19,1.5068004636809,18549
TRBV9,1.49217843103965,18369
TRBV4-3,1.39949099079706,17228
TRBV14,1.31541430310986,16193
TRBV5-6,1.22573250291019,15089
TRBV5-4,1.19202059432064,14674
TRBV6-6,1.17349935297506,14446
TRBV6-1,1.01046368902511,12439
TRBV4-2,0.955793533649765,11766
TRBV6-4,0.944339608080785,11625
TRBV3-1,0.849783797000696,10461
TRBV7-7,0.704132105190903,8668
TRBV5-5,0.663434114339421,8167
TRBV28,0.613069335241779,7547
TRBV13,0.559861383130561,6892
TRBV30,0.50974030457694,6275
TRBV10-2,0.484070513940077,5959
TRBV12-5,0.470342049960236,5790
TRBV18,0.4504398388652,5545
TRBV11-3,0.404786603618628,4983
TRBV27,0.366688085236702,4514
TRBV5-8,0.362870110047042,4467
TRBV6-2,0.264090156203925,3251
TRBV6-3,0.249955524650716,3077
TRBV11-1,0.242319574271396,2983
TRBV7-4,0.0258322576662099,318
TRBV6-9,0.0238014197993695,293
TRBV16,0.0204708456977512,252
TRBV10-1,0.000487401088041696,6
TRBV6-8,0.000487401088041696,6
