ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,16.3912936365876,180308
TRBV2,13.5341715582311,148879
TRBV29-1,9.36462237607759,103013
TRBV7-2,6.42186572462576,70642
TRBV15,5.99860184741592,65986
TRBV5-1,5.12298379215707,56354
TRBV24-1,4.58917677175841,50482
TRBV7-8,3.65774170176442,40236
TRBV10-3,2.8264863552853,31092
TRBV7-6,2.53840146978745,27923
TRBV7-9,2.46140307975379,27076
TRBV7-3,2.11231946968382,23236
TRBV12-4,1.83714340518335,20209
TRBV11-2,1.831688973776,20149
TRBV12-3,1.81714382335642,19989
TRBV25-1,1.70023717685903,18703
TRBV4-1,1.3939708533367,15334
TRBV6-5,1.33079035620164,14639
TRBV19,1.28924577031571,14182
TRBV14,1.09824976386857,12081
TRBV10-2,1.07843199642189,11863
TRBV5-6,1.06161416624925,11678
TRBV5-5,1.0565233636024,11622
TRBV5-4,0.934889543218642,10284
TRBV13,0.894254029233934,9837
TRBV6-6,0.878617992532883,9665
TRBV7-7,0.828891759535937,9118
TRBV30,0.828891759535937,9118
TRBV4-2,0.812983001264519,8943
TRBV9,0.75934775909231,8353
TRBV4-3,0.671258691863716,7384
TRBV6-1,0.448172447303375,4930
TRBV6-4,0.437081770108443,4808
TRBV3-1,0.42326387720984,4656
TRBV11-3,0.309538982366732,3405
TRBV5-8,0.28926667896944,3182
TRBV18,0.235904158367598,2595
TRBV28,0.185996110990407,2046
TRBV11-1,0.135360806092236,1489
TRBV27,0.0965434359099764,1062
TRBV12-5,0.0856345730952898,942
TRBV6-2,0.0845436868138212,930
TRBV6-3,0.0780892763151316,859
TRBV7-4,0.036271968858833,399
TRBV16,0.0238176838120657,262
TRBV6-9,0.00572715297771047,63
TRBV10-1,0.0015454222320806,17
