ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,16.3020144296995,179292
TRBV2,9.80137568591081,107797
TRBV29-1,7.25758423007506,79820
TRBV24-1,6.70039961266213,73692
TRBV15,6.55273841509708,72068
TRBV5-1,6.47399789964676,71202
TRBV7-2,6.31688056627706,69474
TRBV7-8,3.71098775703186,40814
TRBV7-9,2.63817096511686,29015
TRBV7-3,2.63135163641158,28940
TRBV10-3,2.59252692498284,28513
TRBV25-1,2.18245795883853,24003
TRBV7-6,2.15472602210372,23698
TRBV11-2,1.92268699735865,21146
TRBV12-4,1.90877556679987,20993
TRBV12-3,1.89559153130299,20848
TRBV4-1,1.54080458986284,16946
TRBV6-5,1.31076590153799,14416
TRBV19,1.2821247209758,14101
TRBV14,1.2458458922637,13702
TRBV11-3,1.23302555429777,13561
TRBV6-6,1.08063628883039,11885
TRBV9,1.01171560671567,11127
TRBV10-2,0.956524506394257,10520
TRBV30,0.929429040338602,10222
TRBV4-2,0.915153912248878,10065
TRBV5-6,0.902151725517473,9922
TRBV4-3,0.834231211612862,9175
TRBV5-5,0.83086700945159,9138
TRBV5-4,0.619376895205103,6812
TRBV6-4,0.609829835017707,6707
TRBV6-1,0.559730500129567,6156
TRBV7-7,0.530998395184645,5840
TRBV13,0.524179066479362,5765
TRBV12-5,0.386337702249924,4249
TRBV3-1,0.354241395143729,3896
TRBV5-8,0.325054668285121,3575
TRBV11-1,0.317780717666153,3495
TRBV18,0.250769447588913,2758
TRBV28,0.163027418247614,1793
TRBV27,0.0794679105122225,874
TRBV6-3,0.0636470679159677,700
TRBV6-2,0.0578279074207935,636
TRBV7-4,0.0212763055604806,234
TRBV16,0.0134568086450903,148
TRBV6-9,0.00691025308801935,76
TRBV10-1,0.00054554629642258,6
