ReferenceName,UsageFrequency(%),UsageNumber
TRBV29-1,18.8168450827867,270081
TRBV20-1,12.561841825662,180302
TRBV5-5,9.69543270989295,139160
TRBV5-1,8.92145626569777,128051
TRBV2,4.32964192529166,62144
TRBV11-2,3.60659506798159,51766
TRBV7-2,3.5631202906679,51142
TRBV24-1,2.90862981296788,41748
TRBV10-3,2.76030000383191,39619
TRBV7-8,2.40504697575097,34520
TRBV4-3,2.29127404088998,32887
TRBV7-3,2.07153133632687,29733
TRBV9,2.0389252533416,29265
TRBV4-1,1.73474115438075,24899
TRBV7-9,1.68241814514584,24148
TRBV14,1.63671389207247,23492
TRBV25-1,1.35350079947607,19427
TRBV6-6,1.35168935042134,19401
TRBV11-3,1.31734148949882,18908
TRBV6-5,1.28389935310367,18428
TRBV12-4,1.23303943733606,17698
TRBV12-3,1.22300679641751,17554
TRBV15,1.22077732065783,17522
TRBV4-2,1.16504042666592,16722
TRBV19,1.11397149754584,15989
TRBV13,0.970727679986623,13933
TRBV5-4,0.933523303247022,13399
TRBV3-1,0.916802235049449,13159
TRBV10-2,0.775230524309995,11127
TRBV6-1,0.757673402702543,10875
TRBV5-6,0.730989364703915,10492
TRBV27,0.435235470959336,6247
TRBV12-5,0.363543891062241,5218
TRBV7-6,0.270602620330729,3884
TRBV6-2,0.240226013105137,3448
TRBV6-3,0.237230155053072,3405
TRBV30,0.187833332752741,2696
TRBV28,0.184280105760756,2645
TRBV6-4,0.148051124666014,2125
TRBV18,0.130563674176052,1874
TRBV10-1,0.123805575779533,1777
TRBV7-7,0.111264774631353,1597
TRBV11-1,0.0951707464911884,1366
TRBV5-8,0.0620769656834911,891
TRBV16,0.0362986522122322,521
TRBV6-8,0.00209013352469667,30
