ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,15.5334439740064,208534
TRBV2,7.76374243566404,104227
TRBV5-1,7.73618158577681,103857
TRBV4-1,6.15106027334404,82577
TRBV7-9,4.14217227169933,55608
TRBV6-5,3.54447427306396,47584
TRBV10-3,3.41464032346009,45841
TRBV6-1,3.39944461163038,45637
TRBV29-1,3.14715110198706,42250
TRBV5-6,2.75161566171366,36940
TRBV7-3,2.57202320474583,34529
TRBV11-2,2.42542927885919,32561
TRBV7-2,2.33365909761308,31329
TRBV27,2.31972969510251,31142
TRBV7-8,2.30639620285977,30963
TRBV12-3,2.02058274065091,27126
TRBV12-4,1.99019131699149,26718
TRBV24-1,1.96024682603294,26316
TRBV5-5,1.9104138298855,25647
TRBV6-6,1.9104138298855,25647
TRBV30,1.66221720333352,22315
TRBV9,1.57067048843785,21086
TRBV13,1.45901180200285,19587
TRBV3-1,1.41335017773024,18974
TRBV15,1.37811698314468,18501
TRBV4-2,1.36321922644888,18301
TRBV7-6,1.33193393738771,17881
TRBV14,1.17632686870011,15792
TRBV28,1.13550701535363,15244
TRBV18,1.02720032417519,13790
TRBV5-8,1.02630645877344,13778
TRBV5-4,0.917552834894122,12318
TRBV19,0.90302752211572,12123
TRBV10-2,0.818855196784468,10993
TRBV25-1,0.620342588812977,8328
TRBV11-1,0.530881559854717,7127
TRBV6-4,0.497510584856132,6679
TRBV6-3,0.402015964436075,5397
TRBV11-3,0.400600677549975,5378
TRBV6-2,0.383244790999371,5145
TRBV7-7,0.325962916504033,4376
TRBV7-4,0.0925150690808978,1242
TRBV10-1,0.0787346441372858,1057
TRBV12-5,0.0771703796842272,1036
TRBV16,0.0291996031237616,392
TRBV4-3,0.0262945405680813,353
TRBV6-9,0.0192181061375778,258
