ReferenceName,UsageFrequency(%),UsageNumber
TRBV20-1,16.1088886973015,186847
TRBV2,10.2397620484525,118771
TRBV5-1,6.72471764807311,78000
TRBV7-2,6.409949133546,74349
TRBV29-1,5.08647297180791,58998
TRBV24-1,4.97456677299767,57700
TRBV15,4.93378739546513,57227
TRBV7-8,3.60393137339426,41802
TRBV7-9,3.38796447969653,39297
TRBV7-3,3.00801793258039,34890
TRBV7-6,2.91809638761962,33847
TRBV10-3,2.82860591430296,32809
TRBV12-4,2.26760927666178,26302
TRBV12-3,2.26502284679714,26272
TRBV4-1,2.00637986033279,23272
TRBV11-2,1.91206138460212,22178
TRBV6-5,1.61600137942926,18744
TRBV19,1.55478920596603,18034
TRBV6-6,1.50771618242952,17488
TRBV25-1,1.4152082076041,16415
TRBV9,1.26743684800414,14701
TRBV5-6,1.1603586516079,13459
TRBV4-2,1.09759462022588,12731
TRBV14,1.09293904646952,12677
TRBV7-7,1.01965686697129,11827
TRBV30,0.973532201051815,11292
TRBV6-1,0.925165962582981,10731
TRBV4-3,0.853090783688249,9895
TRBV5-5,0.788688680058626,9148
TRBV10-2,0.754289162858867,8749
TRBV5-4,0.742995085783257,8618
TRBV3-1,0.594102939908613,6891
TRBV13,0.566083283041642,6566
TRBV18,0.531597551513062,6166
TRBV6-4,0.501853608069661,5821
TRBV5-8,0.461505302181222,5353
TRBV28,0.423053711526856,4907
TRBV11-3,0.384602120872489,4461
TRBV11-1,0.307181653590827,3563
TRBV12-5,0.295973790844038,3433
TRBV27,0.17596344512458,2041
TRBV6-3,0.112423484783171,1304
TRBV6-2,0.108457625657384,1258
TRBV16,0.0416415208207604,483
TRBV7-4,0.0270712992499353,314
TRBV6-9,0.0221570825071127,257
TRBV10-1,0.0010345719458574,12
