"sample_id" "condition" "gene_name" "gene_usage_count"
"1B_S1" "B" "IGHV4-30-2" 24
"1B_S1" "B" "IGHV4-30-4" 33
"1B_S1" "B" "IGHV4-31" 93
"1B_S1" "B" "IGHV4-34" 108
"1B_S1" "B" "IGHV4-38-2" 411
"1B_S1" "B" "IGHV4-39" 995
"1B_S1" "B" "IGHV4-4" 467
"1B_S1" "B" "IGHV4-59" 754
"1B_S1" "B" "IGHV4-61" 582
"1B_S1" "B" "IGHV4/OR15-8" 4
"1B_S1" "B" "IGHV5-10-1" 1
"1B_S1" "B" "IGHV5-51" 102
"1B_S1" "B" "IGHV6-1" 38
"1N_S15" "N" "IGHV1-18" 264
"1N_S15" "N" "IGHV1-2" 192
"1N_S15" "N" "IGHV1-24" 12
"1N_S15" "N" "IGHV1-3" 91
"1N_S15" "N" "IGHV1-45" 2
"1N_S15" "N" "IGHV1-46" 184
"1N_S15" "N" "IGHV1-58" 53
"1N_S15" "N" "IGHV1-69" 214
"1N_S15" "N" "IGHV1-8" 141
"1N_S15" "N" "IGHV2-26" 2
"1N_S15" "N" "IGHV2-5" 24
"1N_S15" "N" "IGHV2-70" 23
"1N_S15" "N" "IGHV3-11" 204
"1N_S15" "N" "IGHV3-13" 34
"1N_S15" "N" "IGHV3-15" 214
"1N_S15" "N" "IGHV3-20" 4
"1N_S15" "N" "IGHV3-21" 243
"1N_S15" "N" "IGHV3-22" 1
"1N_S15" "N" "IGHV3-23" 933
"1N_S15" "N" "IGHV3-30" 985
"1N_S15" "N" "IGHV3-30-3" 177
"1N_S15" "N" "IGHV3-33" 257
"1N_S15" "N" "IGHV3-43" 12
"1N_S15" "N" "IGHV3-43D" 26
"1N_S15" "N" "IGHV3-48" 258
"1N_S15" "N" "IGHV3-49" 36
"1N_S15" "N" "IGHV3-52" 1
"1N_S15" "N" "IGHV3-53" 57
"1N_S15" "N" "IGHV3-64" 28
"1N_S15" "N" "IGHV3-64D" 8
"1N_S15" "N" "IGHV3-66" 61
"1N_S15" "N" "IGHV3-69-1" 1
"1N_S15" "N" "IGHV3-7" 426
"1N_S15" "N" "IGHV3-72" 36
"1N_S15" "N" "IGHV3-73" 38
"1N_S15" "N" "IGHV3-74" 198
"1N_S15" "N" "IGHV3-9" 76
"1N_S15" "N" "IGHV3-NL1" 1
"1N_S15" "N" "IGHV4-30-2" 120
"1N_S15" "N" "IGHV4-30-4" 106
"1N_S15" "N" "IGHV4-31" 149
"1N_S15" "N" "IGHV4-34" 508
"1N_S15" "N" "IGHV4-38-2" 333
"1N_S15" "N" "IGHV4-39" 494
