"sample_id" "condition" "gene_name" "gene_usage_count"
"C2" "C" "TRBV11-3" 1141.9999999997
"C3" "C" "TRBV11-3" 4515.99999999941
"C4" "C" "TRBV11-3" 1508.99999999973
"C5" "C" "TRBV11-3" 3303.9999999994
"C6" "C" "TRBV11-3" 1066.99999999972
"C7" "C" "TRBV11-3" 960.999999999832
"C8" "C" "TRBV11-3" 826.999999999785
"C9" "C" "TRBV11-3" 1678.99999999977
"MS1" "MS" "TRBV11-3" 416.999999999827
"MS10" "MS" "TRBV11-3" 1168.99999999977
"MS11" "MS" "TRBV11-3" 396.999999999867
"MS12" "MS" "TRBV11-3" 971.999999999455
"MS13" "MS" "TRBV11-3" 338.999999999767
"MS2" "MS" "TRBV11-3" 276.999999999788
"MS3" "MS" "TRBV11-3" 734.999999999704
"MS4" "MS" "TRBV11-3" 281.999999999736
"MS5" "MS" "TRBV11-3" 383.999999999825
"MS6" "MS" "TRBV11-3" 1443.99999999945
"MS7" "MS" "TRBV11-3" 836.99999999975
"MS8" "MS" "TRBV11-3" 1390.9999999996
"MS9" "MS" "TRBV11-3" 255.999999999892
"C1" "C" "TRBV12-4" 42182.9999999922
"C10" "C" "TRBV12-4" 7225.99999999423
"C11" "C" "TRBV12-4" 27193.9999999919
"C2" "C" "TRBV12-4" 27903.9999999927
"C3" "C" "TRBV12-4" 50215.9999999934
"C4" "C" "TRBV12-4" 29843.9999999947
"C5" "C" "TRBV12-4" 33096.999999994
"C6" "C" "TRBV12-4" 17136.9999999956
"C7" "C" "TRBV12-4" 45528.999999992
"C8" "C" "TRBV12-4" 24797.9999999936
"C9" "C" "TRBV12-4" 52162.9999999928
"MS1" "MS" "TRBV12-4" 15912.9999999934
"MS10" "MS" "TRBV12-4" 25176.999999995
"MS11" "MS" "TRBV12-4" 20866.999999993
"MS12" "MS" "TRBV12-4" 11667.9999999935
"MS13" "MS" "TRBV12-4" 9192.99999999369
"MS2" "MS" "TRBV12-4" 8717.99999999333
"MS3" "MS" "TRBV12-4" 18925.9999999924
"MS4" "MS" "TRBV12-4" 9394.99999999122
"MS5" "MS" "TRBV12-4" 20372.9999999907
"MS6" "MS" "TRBV12-4" 35536.9999999864
"MS7" "MS" "TRBV12-4" 21461.9999999936
"MS8" "MS" "TRBV12-4" 28415.9999999919
"MS9" "MS" "TRBV12-4" 16150.9999999932
"C1" "C" "TRBV12-5" 4036.99999999925
"C10" "C" "TRBV12-5" 482.999999999615
"C11" "C" "TRBV12-5" 1297.99999999961
"C2" "C" "TRBV12-5" 3064.9999999992
"C3" "C" "TRBV12-5" 5667.99999999926
"C4" "C" "TRBV12-5" 1339.99999999976
"C5" "C" "TRBV12-5" 3841.99999999931
"C6" "C" "TRBV12-5" 1175.9999999997
"C7" "C" "TRBV12-5" 3291.99999999942
"C8" "C" "TRBV12-5" 1837.99999999952
